No,Nama Sekolah,BP,Status,siswa_total,jumlah_guru,staf_total,jumlah_ruangan,daya_listrik,wilayah_total,skor_akreditasi,Lintang,Bujur,pca1,pca2,dbscanonly_kluster,PeningkatanDBSCAN_3klaster,skor_akreditasi_n,siswa_total_n,jumlah_ruangan_n,wilayah_total_n,daya_listrik_n,jumlah_guru_n,staf_total_n,skor_rekomendasi,peringkat
3918,SD NEGERI 23 MATALAANG,SD,Negeri,208,5,2,7,5500,4832,71,-5.220483,119.71219,-0.859581351,-0.377601919,1,0,0.956521739,0.130735387,0.920454545,0.994880278,0.980442053,0.96,0.9375,94.45492588,39
3920,SD NEGERI 25 MAKARANGANA,SD,Negeri,38,3,1,3,1300,3790,70,-4.813593,119.51362,-1.915341822,-0.247519949,1,0,1,0.023884349,0.965909091,0.99599238,0.995710339,0.976,0.96875,94.44371423,40
4552,SD NEGERI 4 TANRUTEDONG,SD,Negeri,133,8,3,7,3500,1577,70,-3.613772,120.183787,-0.726257892,-0.12657605,1,0,1,0.083595223,0.920454545,0.998354261,0.987712665,0.936,0.90625,94.4215328,41
4194,UPT SD NEGERI 127 PINRANG,SD,Negeri,116,8,1,7,5500,3870,70,-3.125043,120.269912,-1.067762172,0.024784365,1,0,1,0.072910119,0.920454545,0.995906998,0.980442053,0.936,0.96875,94.4126858,42
1449,SD NEGERI 252 MASSILA,SD,Negeri,112,7,3,6,900,2552,70,-4.724581,120.173069,-0.926438881,-0.138901558,1,0,1,0.070395977,0.931818182,0.997313667,0.997164461,0.944,0.90625,94.38730003,43
2350,SD INPRES LOJONG,SD,Negeri,104,6,1,7,2200,2961,70,-5.396101,119.676928,-1.222956419,-0.016876634,0,0,1,0.065367693,0.920454545,0.996877151,0.992438563,0.952,0.96875,94.36719311,44
2586,UPT SD NEGERI 3 BANGKALA,SD,Negeri,130,8,3,7,3500,942,70,-5.710616,119.590234,-0.734755118,-0.127164009,0,0,1,0.081709617,0.920454545,0.999031981,0.987712665,0.936,0.90625,94.34412213,45
9032,SMK AL AMANAH JENEPONTO,SMK,Swasta,70,5,1,5,2200,2415,70,-5.680206,119.729144,-1.509368643,0.042140915,1,0,1,0.043997486,0.943181818,0.997459884,0.992438563,0.96,0.96875,94.34083044,46
3260,SDIT WAHDAH ISLAMIYAH 05 KALAENA,SD,Swasta,90,6,1,6,5500,761,70,-2.598522,121.206011,-1.305114324,0.070895811,1,0,1,0.056568196,0.931818182,0.999225158,0.980442053,0.952,0.96875,94.33614326,47
1116,SD INPRES 10/73 WATANG PALAKKA,SD,Negeri,350,15,4,14,2200,1784,71,-4.302222,119.688617,0.856776478,-0.503628093,1,0,0.956521739,0.219987429,0.840909091,0.998133335,0.992438563,0.88,0.875,94.30517773,48
2311,SD NEGERI CENTER MALINO,SD,Negeri,297,14,1,13,2200,1093,71,-5.238735,119.90296,0.048691974,-0.653240672,1,0,0.956521739,0.186675047,0.852272727,0.998870822,0.992438563,0.888,0.96875,94.23389028,49
5029,SD NEGERI 71 MACCINI,SD,Negeri,125,10,1,8,2200,5000,70,-4.347483,119.911724,-0.90740721,-0.083896022,1,0,1,0.078566939,0.909090909,0.994700976,0.992438563,0.92,0.96875,94.13233292,50
2775,UPT SD NEGERI 10 BATANG,SD,Negeri,102,7,1,7,5500,2085,70,-5.740725,119.75937,-1.223864542,-0.305867872,1,0,1,0.064110622,0.920454545,0.997812085,0.980442053,0.944,0.96875,94.10260044,51
2469,SD NEGERI LEBONG,SD,Negeri,118,6,3,7,3500,1847,70,-5.346437,119.896635,-0.858140698,-0.093933749,1,0,1,0.07416719,0.920454545,0.998066096,0.987712665,0.952,0.90625,94.09965372,52
