No,Nama Sekolah,BP,Status,siswa_total,jumlah_guru,staf_total,jumlah_ruangan,daya_listrik,wilayah_total,skor_akreditasi,Lintang,Bujur
4042,SD NEGERI 44 SARAPPO KEKE,SD,Negeri,130,5,1,4,3500,1427,64,4956402,119653652
4043,SD NEGERI 9 PULAU BADI,SD,Negeri,129,6,1,7,2200,3313,89,5337088,119443631
4044,SD NEGERI I PULAU BALANG LOMPO,SD,Negeri,170,14,0,10,5500,4501,78,4875469,119349692
4045,SD NEGERI 11 MARANGANCANG,SD,Negeri,43,8,2,7,3500,4140,71,5124841,119472366
4046,SD NEGERI 13 BENTENG,SD,Negeri,30,8,2,7,5500,1194,79,5434245,119802395
4047,SD NEGERI 15 PESENG,SD,Negeri,118,7,2,7,2200,4156,97,4942664,119788681
4048,SD NEGERI 16 MANGGALUNG,SD,Negeri,40,8,1,7,1300,4259,99,502447,119392816
4049,SD NEGERI 19 TAMARUPA,SD,Negeri,75,7,4,9,5500,2946,76,4873987,119455674
4050,SD NEGERI 20 MANDALLE,SD,Negeri,172,9,3,10,5500,3858,62,5123156,119709112
4051,SD NEGERI 21 GALLA RAYA,SD,Negeri,80,6,4,8,2200,4647,92,5336088,119614716
4052,SD NEGERI 29 BENTENG,SD,Negeri,136,7,1,7,1300,1061,94,5131119,119723202
4053,SD NEGERI 30 MANGGALUNG,SD,Negeri,68,7,1,8,5500,3455,60,5253411,11989491
4054,SD NEGERI 31 LEMPANGANG,SD,Negeri,58,7,2,7,3500,4343,68,4907208,119741386
4055,SD NEGERI 33 BODDIE,SD,Negeri,100,6,2,8,2200,3686,71,5292539,119834345
4056,SD NEGERI 38 TAMARUPA,SD,Negeri,106,7,3,8,3500,1034,82,5214043,119429031
4057,SD NEGERI 41 AKKOBANG,SD,Negeri,55,7,2,7,5500,1396,60,4958874,119807147
4058,SD NEGERI 43 LAMASA,SD,Negeri,37,7,2,7,5500,769,81,5050147,119700824
4059,SD NEGERI 44 COPPOTOMPONG,SD,Negeri,52,8,1,7,3500,3257,91,527756,119828847
4060,SD NEGERI 45 MANDALLE,SD,Negeri,96,5,1,8,5500,3061,98,5040311,119429968
4061,SD NEGERI 46 WAE TUO,SD,Negeri,50,7,3,6,3500,3497,68,4834118,11982597
4062,UPT SD INPRES ARRA,SD,Negeri,56,8,0,6,1300,4036,95,3264765,119842024
4063,UPT SD INPRES KALOSI,SD,Negeri,69,10,0,7,1300,4540,73,3238023,120216915
4064,UPT SD NEGERI 141 PINRANG,SD,Negeri,119,9,1,6,2200,1307,90,3558024,120015054
4065,UPT SD NEGERI 142 PINRANG,SD,Negeri,99,10,0,7,3500,2019,77,3317762,120228295
4066,UPT SD NEGERI 143 PINRANG,SD,Negeri,182,7,2,7,1300,1123,81,3191109,11967485
4067,UPT SD NEGERI 144 PINRANG,SD,Negeri,61,7,0,10,3500,2537,70,3688637,119654092
4068,UPT SD NEGERI 145 PINRANG,SD,Negeri,168,6,2,7,5500,1540,91,3430507,120079578
4069,UPT SD NEGERI 146 PINRANG,SD,Negeri,156,9,2,8,2200,2622,74,3658694,119614497
4070,UPT SD NEGERI 147 PINRANG,SD,Negeri,222,14,4,11,5500,1285,94,3487106,119659466
4071,UPT SD NEGERI 148 PINRANG,SD,Negeri,183,11,2,7,5500,1938,74,3117237,120280296
4072,UPT SD NEGERI 149 PINRANG,SD,Negeri,240,10,3,7,5500,602,70,3551791,120047481
4073,UPT SD NEGERI 150 PINRANG,SD,Negeri,91,11,2,10,3500,3806,81,3530487,119589868
4074,UPT SD NEGERI 152 PINRANG,SD,Negeri,100,10,2,8,5500,1550,63,3359085,120107758
4075,UPT SD NEGERI 153 PINRANG,SD,Negeri,133,15,1,9,900,3805,80,331388,119994127
4076,UPT SD NEGERI 155 PINRANG,SD,Negeri,142,7,2,7,2200,850,64,341698,1198327
4077,UPT SD NEGERI 156 PINRANG,SD,Negeri,12,6,1,5,2200,2368,66,3775415,119711015
4078,UPT SD NEGERI 157 PINRANG,SD,Negeri,48,8,0,5,900,2123,65,3729126,119952864
4079,UPT SD NEGERI 158 PINRANG,SD,Negeri,83,5,4,8,2200,2516,88,3104445,11962487
4080,UPT SD NEGERI 159 PINRANG,SD,Negeri,29,8,0,5,5500,3744,99,3275126,119537484
4081,UPT SD NEGERI 160 PINRANG,SD,Negeri,81,10,2,6,2200,1680,72,3738084,120042161
4082,UPT SD NEGERI 170 PINRANG,SD,Negeri,165,8,1,8,3500,4999,82,3738366,119534069
4083,UPT SD NEGERI 185 PINRANG,SD,Negeri,194,10,4,8,2200,1045,63,3155848,120027363
4084,UPT SD NEGERI 186 PINRANG,SD,Negeri,170,14,0,12,900,1911,98,345276,119965565
4085,UPT SD NEGERI 199 PINRANG,SD,Negeri,162,10,3,14,900,2314,87,3549696,120202612
4086,UPT SD NEGERI 200 PINRANG,SD,Negeri,19,10,1,6,3500,2169,83,3326879,119993048
4087,UPT SD NEGERI 225 PINRANG,SD,Negeri,144,7,2,8,3500,4478,99,3229279,119670505
4088,UPT SD NEGERI 227 PINRANG,SD,Negeri,99,10,3,6,1300,3514,80,3280997,119603168
4089,UPT SD NEGERI 268 PINRANG,SD,Negeri,63,10,1,12,5500,550,85,3703945,119556226
4090,UPT SD NEGERI 269 PINRANG,SD,Negeri,61,9,3,7,1300,4887,86,3397269,120233874
4091,UPT SD NEGERI 270 PINRANG,SD,Negeri,126,7,1,7,900,2032,69,3723578,119593244
4092,UPT SD NEGERI 271 PINRANG,SD,Negeri,43,7,1,7,2200,2977,88,3130194,11985143
4093,UPT SD NEGERI 272 PINRANG,SD,Negeri,195,14,2,9,1300,2951,98,3284557,119783006
4094,UPT SD NEGERI 273 PINRANG,SD,Negeri,48,10,1,4,5500,852,74,3422096,119582354
4095,UPT SD NEGERI 300 PINRANG,SD,Negeri,78,7,2,7,2200,3630,63,3300881,120205545
4096,UPT SD NEGERI 301 PINRANG,SD,Negeri,143,11,3,9,1300,1865,94,3482128,119971071
4097,UPT SD NEGERI 302 PINRANG,SD,Negeri,47,6,1,6,3500,1606,67,356337,120287517
4098,UPT SD NEGERI 303 PINRANG,SD,Negeri,51,11,1,7,2200,2469,81,3196741,120244358
4099,UPT SD NEGERI 304 PINRANG,SD,Negeri,71,8,2,6,1300,953,95,3486339,119699829
4100,UPT SD NEGERI INPRES ALLAK,SD,Negeri,36,9,0,6,1300,3923,62,3382558,119809456
4101,UPT SD NEGERI INPRES BATU SURA,SD,Negeri,0,10,2,0,1300,3346,84,3585377,120127866
4102,UPT SD NEGERI INPRES KARAWA,SD,Negeri,130,7,2,8,5500,1389,93,3467485,119905111
4103,UPT SD NEGERI INPRES PAJALELE,SD,Negeri,101,8,3,7,1300,4763,71,3467799,120186434
4104,UPT SD NEGERI INPRES PASANG LAMBE,SD,Negeri,124,11,1,9,5500,2936,95,3511994,120285574
4105,UPT SD NEGERI INPRES PEMUKIMAN MARIRI,SD,Negeri,60,5,2,4,900,3894,76,3584933,12017692
4106,UPT SD NEGERI INPRES SALIMBONGAN,SD,Negeri,292,16,5,13,900,953,97,3766326,120158099
4107,SD Kristen Kasih Citra Mulia,SD,Swasta,41,3,1,8,3500,2557,66,3567797,119775883
4108,SDI MA HAD MIFTAHURRAZAQ PAO,SD,Swasta,0,2,1,0,3500,2670,82,3725063,119828374
4109,SDKRISTEN MADA,SD,Swasta,0,5,1,0,1300,2904,70,3106596,119737626
4110,UPT SD NEGERI 1 PINRANG,SD,Negeri,242,20,1,13,1300,1712,93,3256114,11955382
4111,UPT SD NEGERI 12 PINRANG,SD,Negeri,214,13,3,10,1300,791,85,3446791,120284561
4112,UPT SD NEGERI 16 PINRANG,SD,Negeri,467,22,8,19,1300,4758,96,3526316,119971352
4113,UPT SD NEGERI 161 PINRANG,SD,Negeri,579,25,5,15,1300,2418,79,3770381,119596781
4114,UPT SD NEGERI 174 PINRANG,SD,Negeri,106,8,2,7,900,1514,80,336737,119956877
4115,UPT SD NEGERI 187 PINRANG,SD,Negeri,445,23,3,22,900,4367,100,3273701,120126321
4116,UPT SD NEGERI 20 PINRANG,SD,Negeri,123,11,2,7,1300,1831,63,3720995,119861579
4117,UPT SD NEGERI 21 PINRANG,SD,Negeri,101,9,0,7,900,3421,75,320323,1195081
4118,UPT SD NEGERI 212 PINRANG,SD,Negeri,170,10,3,7,3500,1941,89,3492884,120037868
4119,UPT SD NEGERI 213 PINRANG,SD,Negeri,152,8,3,7,5500,4708,63,366728,119877775
4120,UPT SD NEGERI 22 PINRANG,SD,Negeri,289,15,3,13,900,4114,94,3282937,119740352
4121,UPT SD NEGERI 23 PINRANG,SD,Negeri,77,9,1,7,2200,3456,66,3223772,1195659
4122,UPT SD NEGERI 244 PINRANG,SD,Negeri,150,10,2,8,5500,2468,61,3708736,119746738
4123,UPT SD NEGERI 245 PINRANG,SD,Negeri,78,8,3,7,5500,3569,78,320562,119752024
4124,UPT SD NEGERI 249 PINRANG,SD,Negeri,70,7,2,10,3500,4725,93,3321568,119921566
4125,UPT SD NEGERI 285 PINRANG,SD,Negeri,132,9,1,7,5500,4167,65,3661387,119542213
4126,UPT SD NEGERI 286 PINRANG,SD,Negeri,79,8,0,7,1300,3682,88,3125235,119852752
4127,UPT SD NEGERI 287 PINRANG,SD,Negeri,242,12,3,10,5500,3969,85,3228507,119933826
4128,UPT SD NEGERI 3 PINRANG,SD,Negeri,229,16,2,6,2200,2269,96,3529544,119589855
4129,UPT SD NEGERI 4 PINRANG,SD,Negeri,191,11,2,6,900,3502,77,3761594,119546636
4130,UPT SD NEGERI 5 PINRANG,SD,Negeri,229,16,2,11,2200,1747,75,3611601,12008971
4131,UPT SD NEGERI 6 PINRANG,SD,Negeri,123,9,3,8,900,4736,89,3482744,119809408
4132,UPT SD NEGERI 8 PINRANG,SD,Negeri,500,17,4,14,3500,4321,74,3115218,119779895
4133,UPT SD NEGERI 9 PINRANG,SD,Negeri,109,8,4,7,2200,2459,67,3422035,119935973
4134,UPT SD NEGERI INPRES BENTENGNGE,SD,Negeri,76,9,0,6,2200,4311,95,3589991,120212594
4135,UPT SD NEGERI INPRES BERTINGKAT,SD,Negeri,217,14,0,7,5500,3105,82,3156673,119550526
4136,UPT SD NEGERI INPRES ULUTEDONG,SD,Negeri,154,9,1,7,3500,2448,88,3685127,119549948
4137,SD ISLAM TERPADU ALAMIN,SD,Swasta,37,3,1,5,1300,4204,87,3318734,119555962
4138,SD IT AL QADRI,SD,Swasta,536,24,4,24,900,1625,93,332055,120230926
4139,SD MUHAMMADIYAH 2 PINRANG,SD,Swasta,40,8,2,6,2200,2924,67,3593313,11958798
4140,SD TAHFIDZUL QURAN DARUSSALAM,SD,Swasta,97,8,2,6,3500,4390,91,3740915,12000661
4141,SDIT ALINSAN,SD,Swasta,336,32,2,15,5500,2406,68,3460423,119970104
4142,SDIT DARUL HADITS PINRANG,SD,Swasta,90,5,3,3,900,3673,80,3385533,119970379
4143,UPT SD INPRES BATU BATU,SD,Negeri,66,5,3,8,5500,1999,99,3576978,119941748
4144,UPT SD INPRES KAMPUNG BARU,SD,Negeri,61,7,1,7,5500,3353,93,3220285,119537685
4145,UPT SD INPRES TANTU,SD,Negeri,176,13,3,13,2200,3598,73,3689493,119818655
4146,UPT SD NEGERI 133 PINRANG,SD,Negeri,91,9,2,8,1300,2374,65,3503729,119619437
4147,UPT SD NEGERI 134 PINRANG,SD,Negeri,175,9,3,11,2200,3066,77,3138524,120020462
4148,UPT SD NEGERI 135 PINRANG,SD,Negeri,124,10,3,7,900,4645,82,3474338,119609023
4149,UPT SD NEGERI 136 PINRANG,SD,Negeri,80,9,2,7,5500,1438,63,3355441,120166366
4150,UPT SD NEGERI 137 PINRANG,SD,Negeri,32,7,1,6,2200,1847,79,3386389,119963794
4151,UPT SD NEGERI 138 PINRANG,SD,Negeri,68,6,3,7,900,4905,84,3587654,120196349
4152,UPT SD NEGERI 139 PINRANG,SD,Negeri,186,10,3,9,900,2802,72,342882,119513247
4153,UPT SD NEGERI 140 PINRANG,SD,Negeri,172,11,0,9,5500,2588,98,3202211,119736756
4154,UPT SD NEGERI 169 PINRANG,SD,Negeri,193,7,3,8,2200,4427,64,3499974,119888803
4155,UPT SD NEGERI 175 PINRANG,SD,Negeri,236,16,4,14,3500,1403,88,3737728,119823133
4156,UPT SD NEGERI 176 PINRANG,SD,Negeri,226,14,1,10,5500,3792,73,3629483,11998167
4157,UPT SD NEGERI 196 PINRANG,SD,Negeri,102,9,1,6,3500,3928,97,3537956,120162488
4158,UPT SD NEGERI 197 PINRANG,SD,Negeri,0,10,3,0,3500,4380,98,3793432,119732887
4159,UPT SD NEGERI 223 PINRANG,SD,Negeri,92,8,0,7,1300,4301,76,3277933,11996391
4160,UPT SD NEGERI 224 PINRANG,SD,Negeri,68,10,0,5,5500,3669,95,3493421,119923126
4161,UPT SD NEGERI 261 PINRANG,SD,Negeri,89,8,1,12,900,3736,70,3320793,119908895
4162,UPT SD NEGERI 262 PINRANG,SD,Negeri,84,7,2,7,2200,3635,70,3470379,119532812
4163,UPT SD NEGERI 263 PINRANG,SD,Negeri,131,10,2,7,5500,2787,96,3138831,119785742
4164,UPT SD NEGERI 266 PINRANG,SD,Negeri,91,7,2,7,900,4822,70,360789,119525224
4165,UPT SD NEGERI 28 PINRANG,SD,Negeri,180,12,3,10,2200,2310,72,3548867,119607167
4166,UPT SD NEGERI 296 PINRANG,SD,Negeri,266,18,1,12,5500,4078,89,3508442,119751825
4167,UPT SD NEGERI 297 PINRANG,SD,Negeri,99,7,2,6,900,1492,78,3609442,119757951
4168,UPT SD NEGERI 299 PINRANG,SD,Negeri,55,9,0,6,1300,1141,80,3693717,119813377
4169,UPT SD NEGERI 30 PINRANG,SD,Negeri,83,8,3,7,3500,1672,76,3406646,119502209
4170,UPT SD NEGERI 31 PINRANG,SD,Negeri,110,9,1,7,2200,4393,82,3625914,120170496
4171,UPT SD NEGERI 32 PINRANG,SD,Negeri,85,9,0,7,2200,1420,76,3766552,119747545
4172,UPT SD NEGERI 36 PINRANG,SD,Negeri,151,9,0,10,900,1325,65,3638134,119589376
4173,UPT SD NEGERI 38 PINRANG,SD,Negeri,62,11,0,8,3500,1530,95,3578403,120053522
4174,UPT SD NEGERI 39 PINRANG,SD,Negeri,145,9,2,7,1300,1102,71,3292878,120141802
4175,UPT SD NEGERI 44 PINRANG,SD,Negeri,148,9,1,7,5500,1199,73,3423892,119944513
4176,UPT SD NEGERI 45 PINRANG,SD,Negeri,154,9,3,19,5500,1879,87,3212395,11959496
4177,UPT SD NEGERI 46 PINRANG,SD,Negeri,252,16,2,9,900,3419,81,3416599,119691953
4178,UPT SD NEGERI 47 PINRANG,SD,Negeri,94,11,4,8,1300,2588,77,3133797,120015431
4179,UPT SD NEGERI 48 PINRANG,SD,Negeri,77,7,4,7,3500,3974,93,3532322,119593614
4180,UPT SD INPRES SALISALI,SD,Negeri,60,11,0,6,5500,3962,98,3513461,119500292
4181,UPT SD NEGERI  PELITA PINRANG,SD,Negeri,132,8,2,7,5500,4955,70,3335674,119510557
4182,UPT SD NEGERI 112 PINRANG,SD,Negeri,124,7,2,7,5500,3609,65,3561887,119586577
4183,UPT SD NEGERI 113 PINRANG,SD,Negeri,116,9,1,6,5500,3580,91,3110116,120130133
4184,UPT SD NEGERI 114 PINRANG,SD,Negeri,115,10,1,7,1300,4051,100,3153507,119579606
4185,UPT SD NEGERI 115 PINRANG,SD,Negeri,119,10,3,8,5500,4732,85,3661467,119848859
4186,UPT SD NEGERI 116 PINRANG,SD,Negeri,59,9,1,8,5500,1571,62,3481406,119631714
4187,UPT SD NEGERI 117 PINRANG,SD,Negeri,81,10,2,10,3500,3935,76,3200062,119902093
4188,UPT SD NEGERI 118 PINRANG,SD,Negeri,82,8,0,7,3500,1155,68,3627468,119837328
4189,UPT SD NEGERI 119 PINRANG,SD,Negeri,66,7,1,7,1300,3206,64,3726883,119722163
4190,UPT SD NEGERI 121 PINRANG,SD,Negeri,150,9,2,7,1300,4552,66,3503306,120216209
4191,UPT SD NEGERI 122 PINRANG,SD,Negeri,168,9,3,7,1300,544,74,323133,12002228
4192,UPT SD NEGERI 123 PINRANG,SD,Negeri,123,6,4,7,2200,929,82,3523593,119882134
4193,UPT SD NEGERI 126 PINRANG,SD,Negeri,118,10,3,7,3500,4769,66,3220156,119663454
4194,UPT SD NEGERI 127 PINRANG,SD,Negeri,116,8,1,7,5500,3870,70,3125043,120269912
4195,UPT SD NEGERI 128 PINRANG,SD,Negeri,67,8,2,7,900,810,82,3355508,119814454
4196,UPT SD NEGERI 129 PINRANG,SD,Negeri,159,11,1,9,900,651,85,361048,119822179
4197,UPT SD NEGERI 130 PINRANG,SD,Negeri,86,9,2,7,5500,4838,66,328022,119565548
4198,UPT SD NEGERI 132 PINRANG,SD,Negeri,86,8,3,7,1300,2094,76,3146976,119966868
4199,UPT SD NEGERI 167 PINRANG,SD,Negeri,61,9,1,6,1300,3891,78,3430272,12001935
4200,UPT SD NEGERI 183 PINRANG,SD,Negeri,103,8,3,7,1300,2789,80,3793752,119707316
4201,UPT SD NEGERI 194 PINRANG,SD,Negeri,96,7,1,7,900,4667,81,3556768,119937883
4202,UPT SD NEGERI 195 PINRANG,SD,Negeri,101,8,2,7,5500,828,65,3532301,120128963
4203,UPT SD NEGERI 217 PINRANG,SD,Negeri,104,8,1,9,5500,2548,88,3669684,119820158
4204,UPT SD NEGERI 218 PINRANG,SD,Negeri,78,9,3,7,3500,3271,60,3234788,120039047
4205,UPT SD NEGERI 257 PINRANG,SD,Negeri,62,10,0,7,900,2764,78,3701911,120136078
4206,UPT SD NEGERI 258 PINRANG,SD,Negeri,103,11,1,7,1300,2964,60,3336574,120243621
4207,UPT SD NEGERI 259 PINRANG,SD,Negeri,163,8,2,7,900,4467,99,3162506,120232056
4208,UPT SD NEGERI 260 PINRANG,SD,Negeri,100,11,1,8,900,633,98,3696362,11998688
4209,UPT SD NEGERI 292 PINRANG,SD,Negeri,87,8,1,7,1300,4819,82,3316571,119502632
4210,UPT SD NEGERI 293 PINRANG,SD,Negeri,61,8,1,13,900,3282,99,3341977,120239296
4211,UPT SD NEGERI INPRES PADANG LOANG,SD,Negeri,128,8,3,7,1300,4404,96,3707348,120206691
4212,UPT SD INPRES MAKURING,SD,Negeri,79,8,1,7,5500,1471,70,3249556,119882588
4213,UPT SD NEGERI 164 PINRANG,SD,Negeri,157,8,3,7,5500,3246,85,333316,120243864
4214,UPT SD NEGERI 177 PINRANG,SD,Negeri,192,8,3,8,2200,1975,99,3772152,119923733
4215,UPT SD NEGERI 192 PINRANG,SD,Negeri,102,8,3,7,2200,1289,61,3123969,119731982
4216,UPT SD NEGERI 193 PINRANG,SD,Negeri,57,7,0,7,5500,710,98,3584516,119829996
4217,UPT SD NEGERI 205 PINRANG,SD,Negeri,102,8,3,8,5500,1435,84,3463961,120202962
4218,UPT SD NEGERI 206 PINRANG,SD,Negeri,190,9,2,7,900,3473,80,3105792,120218302
4219,UPT SD NEGERI 207 PINRANG,SD,Negeri,134,8,0,7,1300,3239,80,3446616,119958441
4220,UPT SD NEGERI 232 PINRANG,SD,Negeri,129,8,2,7,3500,4777,86,314653,119928529
4221,UPT SD NEGERI 283 PINRANG,SD,Negeri,47,6,0,6,3500,3629,75,3428832,11957538
4222,UPT SD NEGERI 284 PINRANG,SD,Negeri,103,5,4,7,2200,3775,70,3196316,120259177
4223,UPT SD NEGERI 52 PINRANG,SD,Negeri,140,8,3,7,1300,694,66,3651443,119718304
4224,UPT SD NEGERI 53 PINRANG,SD,Negeri,205,13,4,13,5500,1886,98,3442996,119839292
4225,UPT SD NEGERI 54 PINRANG,SD,Negeri,119,8,4,7,3500,3308,96,3462163,119661949
4226,UPT SD NEGERI 55 PINRANG,SD,Negeri,83,8,0,9,2200,732,90,3702747,119726778
4227,UPT SD NEGERI 56 PINRANG,SD,Negeri,79,8,1,6,900,3468,95,3379486,119672687
4228,UPT SD NEGERI 57 PINRANG,SD,Negeri,114,9,2,7,1300,4830,66,3400766,119973554
4229,UPT SD NEGERI 64 PINRANG,SD,Negeri,127,8,2,7,900,1862,67,3508733,120130763
4230,UPT SD NEGERI 65 PINRANG,SD,Negeri,194,7,1,7,5500,1503,72,3258303,119550685
4231,UPT SD NEGERI 66 PINRANG,SD,Negeri,188,8,1,7,900,1824,73,3566718,11961481
4232,UPT SD NEGERI 72 PINRANG,SD,Negeri,154,9,1,7,3500,4964,96,3633338,119768876
4233,UPT SD NEGERI INPRES BERU,SD,Negeri,73,8,2,7,900,4316,77,372701,119768677
4234,UPT SD NEGERI INPRES KAPA,SD,Negeri,84,8,2,7,2200,3041,64,357798,120074985
4235,UPT SD NEGERI INPRES LABOLONG,SD,Negeri,74,8,0,7,5500,1747,88,3424353,1196855
4236,UPT SD NEGERI 166 PINRANG,SD,Negeri,143,6,2,9,5500,3686,88,3748285,11982329
4237,UPT SD NEGERI 179 PINRANG,SD,Negeri,91,7,2,8,3500,2992,96,3275602,119578991
4238,UPT SD NEGERI 180 PINRANG,SD,Negeri,56,7,1,8,3500,1642,63,3466752,120124111
4239,UPT SD NEGERI 190 PINRANG,SD,Negeri,117,10,0,7,5500,3840,83,3569376,11987018
4240,UPT SD NEGERI 191 PINRANG,SD,Negeri,93,7,1,7,3500,4446,79,3485118,120234393
4241,UPT SD NEGERI 208 PINRANG,SD,Negeri,126,9,1,8,1300,4107,97,3194753,120070433
4242,UPT SD NEGERI 210 PINRANG,SD,Negeri,82,7,1,7,900,503,87,3739008,120063033
4243,UPT SD NEGERI 211 PINRANG,SD,Negeri,93,9,1,7,1300,1684,64,361055,119771173
4244,UPT SD NEGERI 237 PINRANG,SD,Negeri,121,8,1,7,2200,2165,78,3240441,120233807
4245,UPT SD NEGERI 238 PINRANG,SD,Negeri,99,8,2,7,1300,4550,96,3419637,11974354
4246,UPT SD NEGERI 239 PINRANG,SD,Negeri,59,9,1,8,2200,2643,89,3368204,119777153
4247,UPT SD NEGERI 275 PINRANG,SD,Negeri,32,7,2,6,5500,3020,98,3357616,119571624
4248,UPT SD NEGERI 276 PINRANG,SD,Negeri,13,7,0,5,1300,3912,69,3118044,120298748
4249,UPT SD NEGERI 277 PINRANG,SD,Negeri,72,10,1,7,3500,1518,89,3120587,120200747
4250,UPT SD NEGERI 278 PINRANG,SD,Negeri,114,8,2,7,5500,3038,70,3167787,119815116
4251,UPT SD NEGERI 279 PINRANG,SD,Negeri,162,10,1,7,3500,3969,84,3124331,119787128
4252,UPT SD NEGERI 73 PINRANG,SD,Negeri,131,10,1,7,5500,3457,93,3148471,119805509
4253,UPT SD NEGERI 76 PINRANG,SD,Negeri,167,8,2,7,3500,764,68,3263422,119556248
4254,UPT SD NEGERI 77 PINRANG,SD,Negeri,213,12,0,9,900,3699,88,3775039,119841032
4255,UPT SD NEGERI 78 PINRANG,SD,Negeri,164,7,2,7,3500,3559,92,359785,119540388
4256,UPT SD NEGERI 79 PINRANG,SD,Negeri,104,6,1,6,3500,3690,67,3582459,120147787
4257,UPT SD NEGERI 80 PINRANG,SD,Negeri,97,7,2,7,900,2347,87,3129693,119628805
4258,UPT SD NEGERI 81 PINRANG,SD,Negeri,144,11,2,7,5500,3843,63,3612395,11969735
4259,UPT SD NEGERI 82 PINRANG,SD,Negeri,57,9,2,7,3500,1473,61,3329065,120026497
4260,UPT SD NEGERI 83 PINRANG,SD,Negeri,151,8,2,6,1300,3427,75,370684,119947522
4261,UPT SD NEGERI 86 PINRANG,SD,Negeri,43,7,1,6,3500,887,96,3634443,119825914
4262,UPT SD INPRES PALETEANG,SD,Negeri,139,9,0,7,5500,4013,93,376323,11986774
4263,UPT SD NEGERI 10 PINRANG,SD,Negeri,278,18,1,12,900,3706,64,3254113,12016206
4264,UPT SD NEGERI 13 PINRANG,SD,Negeri,331,22,4,18,1300,2834,99,311491,120232985
4265,UPT SD NEGERI 14 PINRANG,SD,Negeri,236,13,1,13,2200,3738,79,3174907,119752879
4266,UPT SD NEGERI 162 PINRANG,SD,Negeri,202,13,2,11,5500,2993,90,3787575,119974655
4267,UPT SD NEGERI 171 PINRANG,SD,Negeri,160,11,2,10,3500,3654,88,3177526,120284499
4268,UPT SD NEGERI 172 PINRANG,SD,Negeri,227,10,2,14,5500,2278,97,3466014,120020792
4269,UPT SD NEGERI 18 PINRANG,SD,Negeri,143,9,1,7,5500,4558,72,3696284,119739412
4270,UPT SD NEGERI 214 PINRANG,SD,Negeri,134,11,2,7,5500,4397,99,321167,120218481
4271,UPT SD NEGERI 24 PINRANG,SD,Negeri,330,15,4,10,2200,4492,70,3617424,119983695
4272,UPT SD NEGERI 240 PINRANG,SD,Negeri,241,15,1,9,3500,4346,78,3679513,119899538
4273,UPT SD NEGERI 248 PINRANG,SD,Negeri,120,9,2,7,2200,1449,83,3710886,120048902
4274,UPT SD NEGERI 25 PINRANG,SD,Negeri,139,10,0,7,5500,4606,97,3317963,119806146
4275,UPT SD NEGERI 251 PINRANG,SD,Negeri,127,7,1,7,3500,1500,61,3261398,119923155
4276,UPT SD NEGERI 26 PINRANG,SD,Negeri,142,9,2,7,2200,4484,64,3578759,120244481
4277,UPT SD NEGERI 27 PINRANG,SD,Negeri,125,9,2,7,3500,3718,75,3448682,120123724
4278,UPT SD NEGERI 289 PINRANG,SD,Negeri,73,10,1,8,2200,594,62,3707763,119559868
4279,UPT SD NEGERI 7 PINRANG,SD,Negeri,192,7,3,7,2200,3563,69,359582,119728861
4280,SD ALAM SAHABAT NAMIRA,SD,Swasta,16,1,1,4,2200,1411,87,3242776,119793763
4281,SD ISLAM TERPADU AL IKHLAS,SD,Swasta,665,47,2,28,900,3227,80,3267065,119813009
4282,SD MUHAMMADIYAH 3 PINRANG,SD,Swasta,79,7,1,9,2200,2178,94,3785075,119989086
4283,UPT SD NEGERI 100 PINRANG,SD,Negeri,88,7,1,7,2200,654,93,3255417,119805859
4284,UPT SD NEGERI 101 PINRANG,SD,Negeri,58,7,0,7,1300,3294,71,3554551,120108955
4285,UPT SD NEGERI 102 PINRANG,SD,Negeri,200,11,1,9,900,2297,74,3688663,119688366
4286,UPT SD NEGERI 103 PINRANG,SD,Negeri,119,8,1,7,3500,4608,72,3569591,119700624
4287,UPT SD NEGERI 104 PINRANG,SD,Negeri,27,7,1,7,900,3903,92,3758436,119789782
4288,UPT SD NEGERI 105 PINRANG,SD,Negeri,114,6,4,7,2200,3560,64,3674604,120277556
4289,UPT SD NEGERI 106 PINRANG,SD,Negeri,79,7,2,7,3500,913,99,3752758,119537594
4290,UPT SD NEGERI 107 PINRANG,SD,Negeri,80,8,2,7,1300,2797,91,3589042,120021505
4291,UPT SD NEGERI 108 PINRANG,SD,Negeri,62,6,1,7,2200,1108,83,3127149,120146183
4292,UPT SD NEGERI 109 PINRANG,SD,Negeri,80,8,2,7,900,4714,79,3242504,119531603
4293,UPT SD NEGERI 110 PINRANG,SD,Negeri,123,8,2,7,900,3660,66,3486286,120082315
4294,UPT SD NEGERI 111 PINRANG,SD,Negeri,44,8,0,8,1300,4411,100,3686399,120188888
4295,UPT SD NEGERI 168 PINRANG,SD,Negeri,111,9,2,9,900,2583,88,3379831,119801546
4296,UPT SD NEGERI 181 PINRANG,SD,Negeri,31,7,0,7,2200,3799,75,3497103,120174601
4297,UPT SD NEGERI 182 PINRANG,SD,Negeri,388,14,4,15,2200,1992,63,3476741,119527401
4298,UPT SD NEGERI 201 PINRANG,SD,Negeri,215,9,2,12,900,3722,65,310675,120163374
4299,UPT SD NEGERI 202 PINRANG,SD,Negeri,123,8,2,8,1300,2209,64,339467,120063383
4300,UPT SD NEGERI 203 PINRANG,SD,Negeri,73,8,2,7,2200,1041,77,3349399,119713364
