No,Nama Sekolah,BP,Status,siswa_total,jumlah_guru,staf_total,jumlah_ruangan,daya_listrik,wilayah_total,skor_akreditasi,Lintang,Bujur
850,SD NEGERI 5 MANURUNGE,SD,Negeri,41,9,3,7,2200,1863,96,4537346,120229212
851,SD NEGERI 6 WATAMPONE,SD,Negeri,144,7,2,7,2200,960,75,4555629,120212778
852,SD NEGERI 7 MANURUNGE,SD,Negeri,95,8,2,7,1300,621,82,4537497,12021375
853,SD NEGERI 8 WATAMPONE,SD,Negeri,140,8,2,8,900,4067,71,4549817,120219534
854,SD NEGERI 9 TA,SD,Negeri,153,6,3,7,5500,3507,85,4549041,120217771
855,SD KALAM KUDUS,SD,Swasta,95,9,1,9,1300,4267,93,4538274,120226367
856,SD KRISTEN WATAMPONE,SD,Swasta,78,6,3,6,3500,645,74,4547116,12022565
857,SDIT INSAN MADANI BONE,SD,Swasta,78,7,2,5,900,2557,94,4551451,120223872
858,SDS IT RABBANI,SD,Swasta,515,26,2,26,5500,2533,94,4550057,120211695
859,SD INPRES 10/73 ARALLAE,SD,Negeri,173,7,3,8,3500,2753,91,4547152,120213849
860,SD INPRES 10/73 PALATTAE,SD,Negeri,166,9,3,8,1300,1672,75,454152,12021199
861,SD INPRES 12/79 CAMMILO,SD,Negeri,97,8,4,7,1300,4240,81,4546915,1202264
862,SD INPRES 12/79 CARIMA,SD,Negeri,82,8,3,7,1300,4560,82,4538066,120219643
863,SD INPRES 12/79 HULO,SD,Negeri,129,6,2,7,900,2465,83,4544632,120227647
864,SD INPRES 12/79 MATAJANG,SD,Negeri,68,8,3,7,3500,2193,71,4537184,120212462
865,SD INPRES 12/79 NUSA,SD,Negeri,35,7,4,8,1300,3532,86,4543696,120214116
866,SD INPRES 12/79 PALATTAE,SD,Negeri,120,9,3,7,1300,3869,71,4552729,120221354
867,SD INPRES 3/77 BOTTO PADANG,SD,Negeri,97,7,2,8,2200,4733,98,454244,120215316
868,SD INPRES 3/77 PASAKA,SD,Negeri,57,8,3,7,2200,4249,88,4546319,120226471
869,SD INPRES 3/77 SANREGO,SD,Negeri,98,6,3,6,900,2960,89,4544786,12022302
870,SD INPRES 5/81 MATTOANGING,SD,Negeri,64,7,2,8,2200,1028,89,4552158,120223036
871,SD INPRES 5/81 TOMPONG PATU,SD,Negeri,131,7,4,7,3500,2650,90,4553299,120228334
872,SD INPRES 6/75 HULO,SD,Negeri,182,7,2,7,1300,2732,85,4544377,120218144
873,SD INPRES 6/80 SANREGO,SD,Negeri,77,7,4,7,2200,4176,80,4554452,120212311
874,SD INPRES 6/86 BALLE,SD,Negeri,107,8,3,6,3500,2559,99,4545029,120230713
875,SD INPRES 6/86 BOTTOPADANG,SD,Negeri,110,7,3,6,3500,976,79,4542829,120214287
876,SD NEGERI 277 PALATTAE,SD,Negeri,150,9,2,8,3500,1023,98,4552721,120230513
877,SD NEGERI 278 PALATTAE,SD,Negeri,92,7,3,7,5500,3871,74,4536796,120225488
878,SD NEGERI 279 CARIMA,SD,Negeri,47,7,3,7,3500,2939,73,4546409,120223056
879,SD NEGERI 280 PALAKKA,SD,Negeri,233,14,2,12,1300,1099,81,4553304,120220833
880,SD NEGERI 281 SANREGO,SD,Negeri,122,7,2,7,5500,4834,99,4553052,120226163
881,SD NEGERI 282 BIRU,SD,Negeri,125,7,3,7,5500,2257,90,4555093,120214875
882,SD NEGERI 283 CAKKELA,SD,Negeri,89,8,2,8,5500,4306,83,4536937,120215432
883,SD NEGERI 284 LABUAJA,SD,Negeri,73,8,2,6,1300,2854,76,4537688,120224507
884,SD NEGERI 285 NUSA,SD,Negeri,49,8,3,5,2200,3032,97,4544723,120224972
885,SD NEGERI 286 PASAKA,SD,Negeri,67,7,3,6,2200,2987,71,4550735,120213663
886,SD NEGERI 287 MATAJANG,SD,Negeri,67,7,4,7,5500,1080,72,4551829,120211996
887,SD INPRES 10/73 UNYI,SD,Negeri,45,6,4,7,5500,2941,86,4555792,120230161
888,SD INPRES 12/79 LACCORI,SD,Negeri,70,6,1,6,900,4678,90,454026,120226414
889,SD INPRES 12/79 PADANGCENGNGA,SD,Negeri,59,5,0,7,2200,2172,93,4554545,120228212
890,SD INPRES 12/79 PAKKASALO,SD,Negeri,125,6,1,6,5500,1104,93,4544218,120224532
891,SD INPRES 12/79 SAILONG,SD,Negeri,52,8,1,7,1300,1869,96,4552167,120225415
892,SD INPRES 12/79 TOCINA,SD,Negeri,65,5,3,6,1300,1759,82,4551114,120220479
893,SD INPRES 12/79 UJUNG,SD,Negeri,80,7,4,7,2200,874,83,454583,120222747
894,SD INPRES 3/77 MARIO,SD,Negeri,50,6,3,6,1300,4818,78,45423,120221928
895,SD INPRES 3/77 TAWAROE,SD,Negeri,83,7,0,7,2200,2519,74,4543323,12022816
896,SD INPRES 4/82 UNYI,SD,Negeri,49,7,2,7,2200,4426,86,4543345,120227913
897,SD INPRES 5/81 LALLATANG,SD,Negeri,38,3,3,6,1300,3333,99,4538832,120215506
898,SD INPRES 5/81 MELLE,SD,Negeri,48,7,1,8,5500,927,89,4550517,120214569
899,SD INPRES 5/81 PANYILI,SD,Negeri,27,5,2,6,5500,773,78,4554919,120216437
900,SD INPRES 5/81 PATTIRO,SD,Negeri,86,7,3,8,3500,558,84,4551082,120227221
901,SD INPRES 5/81 PRAJAMAJU,SD,Negeri,49,6,4,7,900,699,87,4537514,120214401
902,SD INPRES 6/75 CABBENG,SD,Negeri,87,7,3,7,5500,702,96,4542352,12021717
903,SD INPRES 6/75 PATTIRO,SD,Negeri,55,7,4,7,3500,3590,97,4538735,120223415
904,SD INPRES 6/80 PANYILI,SD,Negeri,91,6,2,7,3500,1283,90,454286,12021799
905,SD INPRES 6/80 SANRANGENG,SD,Negeri,34,6,1,7,3500,3173,75,4554396,120230291
906,SD INPRES 7/83 MATAJANG,SD,Negeri,56,6,4,6,1300,3584,74,4545863,120217064
907,SD INPRES 7/83 PAKKASALO,SD,Negeri,50,6,2,6,3500,1810,85,4549782,120224484
908,SD INPRES 7/83 WATANG PADACENGA,SD,Negeri,40,5,4,9,3500,1920,77,4545603,120215613
909,SD NEGERI 100 MELLE,SD,Negeri,103,6,3,7,2200,3031,82,4551634,120211878
910,SD NEGERI 101 PANYILI,SD,Negeri,41,5,2,7,3500,4571,92,4541595,120228439
911,SD NEGERI 102 MARIO,SD,Negeri,133,7,3,7,3500,2039,80,4540855,120231013
912,SD NEGERI 103 PRAJAMAJU,SD,Negeri,43,4,3,6,3500,2654,75,453751,120216142
913,SD NEGERI 104 LACCORI,SD,Negeri,91,7,2,6,5500,4313,78,4541779,120217913
914,SD NEGERI 87 PATTIRO,SD,Negeri,58,7,3,5,1300,1367,98,4538022,120218218
915,SD NEGERI 88 TOCINA,SD,Negeri,20,5,3,6,2200,1284,81,4545927,1202222
916,SD NEGERI 89 KAMPOTI,SD,Negeri,128,7,3,13,2200,1227,85,4540471,120222997
917,SD NEGERI 90 PAKKASALO,SD,Negeri,79,6,2,7,5500,1896,74,4537076,12021583
918,SD NEGERI 91 ULOE,SD,Negeri,88,7,3,6,900,3447,72,4552781,120217233
919,SD NEGERI 92 ULOE,SD,Negeri,100,7,3,7,5500,1827,70,4549881,120219288
920,SD NEGERI 93 CABBENG,SD,Negeri,84,7,4,7,2200,2137,76,4545277,120219758
921,SD NEGERI 94 UJUNG,SD,Negeri,66,6,4,7,3500,773,87,4546205,120223052
922,SD NEGERI 95 SOLO,SD,Negeri,101,5,2,7,900,3030,80,4549884,120211942
923,SD NEGERI 96 PADACENGA,SD,Negeri,49,5,1,6,3500,1459,97,4538925,120218735
924,SD NEGERI 97 SANRANGENG,SD,Negeri,46,7,4,7,5500,1812,97,4554255,120220445
925,SD NEGERI 98 SAILONG,SD,Negeri,58,8,2,7,1300,3996,81,4544225,120213037
926,SD NEGERI 99 LALLATANG,SD,Negeri,26,6,1,6,900,4612,85,4555137,120216414
927,SD INPRES 10/73 TOKASENG,SD,Negeri,180,8,3,7,1300,2569,89,4541299,12022185
928,SD INPRES 12/79 ITTERUNG,SD,Negeri,51,6,3,6,5500,2108,97,4553308,120220961
929,SD INPRES 12/79 LEA,SD,Negeri,71,5,4,7,3500,2858,99,4552929,120221886
930,SD INPRES 12/79 PALONGKI,SD,Negeri,69,7,3,6,2200,3677,73,4547481,120227151
